num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant;seg_RF;seg_RFM;date_premiere_commande;min_montant;mean_montant;max_montant;sum_montant;NB_commande_V_avec_remise;sum_montant_remise;sum_montant_livraison
ID_103843;9;1;60.25;R2;F1;M1;RF2;RFM4;07APR2022;60.25;60.25;60.25;60.25;0;;12.25
ID_103884;6;5;166.16;R3;F3;M2;RF3;RFM8;13APR2021;16.69;33.232;49.99;166.16;0;;22.96
ID_103930;22;1;154.99;R1;F1;M2;RF1;RFM2;05MAR2021;154.99;154.99;154.99;154.99;0;;29.99
ID_103965;15;3;151.3;R1;F2;M2;RF1;RFM2;10FEB2021;46.8;50.433333333;55.5;151.3;0;;22.8
ID_104100;6;1;47.25;R3;F1;M1;RF2;RFM4;25JUL2022;47.25;47.25;47.25;47.25;0;;12.25
ID_104163;18;4;1241.98;R1;F3;M3;RF2;RFM6;05APR2021;59.5;310.495;647.49;1241.98;0;-112.5;149.96
ID_104308;6;3;178.18;R3;F2;M2;RF3;RFM8;11OCT2021;14.2;59.393333333;112.99;178.18;0;;22.68
ID_104321;14;1;58.99;R1;F1;M1;RF1;RFM1;30NOV2021;58.99;58.99;58.99;58.99;0;;3.99
ID_104339;9;5;794.98;R2;F3;M3;RF3;RFM9;09FEB2021;44.49;158.996;314.6;794.98;0;;72.98
ID_104435;16;1;13.99;R1;F1;M1;RF1;RFM1;26SEP2021;13.99;13.99;13.99;13.99;0;;4.49
ID_104465;9;1;97.5;R2;F1;M2;RF2;RFM5;02APR2022;97.5;97.5;97.5;97.5;0;;22.5
ID_104487;4;2;68.19;R3;F2;M1;RF3;RFM7;27SEP2022;13.2;34.095;54.99;68.19;0;;10.19
ID_104491;2;3;139.18;R3;F2;M2;RF3;RFM8;27MAR2021;24.49;46.393333333;75.49;139.18;0;;20.18
ID_104537;20;1;29.49;R1;F1;M1;RF1;RFM1;30MAY2021;29.49;29.49;29.49;29.49;0;;3.99
ID_104811;8;6;159.79;R2;F3;M2;RF3;RFM8;12JAN2021;11.7;26.631666667;44.99;159.79;0;;46.99
ID_104837;2;4;1650;R3;F3;M3;RF3;RFM9;20SEP2022;111;412.5;694;1650;0;-15;104
ID_104857;21;2;177.7;R1;F2;M2;RF1;RFM2;28FEB2021;47.5;88.85;130.2;177.7;0;;19.2
ID_104878;23;2;77.48;R1;F2;M2;RF1;RFM2;19FEB2021;19.99;38.74;57.49;77.48;0;;9.48
ID_104892;14;2;192.1;R1;F2;M2;RF1;RFM2;12FEB2021;70.5;96.05;121.6;192.1;0;;17.6
ID_104897;4;4;392.67;R3;F3;M3;RF3;RFM9;10OCT2021;45.99;98.1675;234.49;392.67;0;;36.17
ID_104910;13;1;31.8;R2;F1;M1;RF2;RFM4;28DEC2021;31.8;31.8;31.8;31.8;0;;6.8
ID_104938;8;2;356.98;R2;F2;M3;RF2;RFM6;02FEB2021;52.99;178.49;303.99;356.98;0;;38.98
ID_105074;23;1;29.49;R1;F1;M1;RF1;RFM1;17FEB2021;29.49;29.49;29.49;29.49;0;;3.49
ID_105103;1;8;1474.55;R3;F3;M3;RF3;RFM9;26FEB2021;25.99;184.31875;322.99;1474.55;0;-15;150.85
ID_105286;10;2;122.99;R2;F2;M2;RF2;RFM5;21JAN2022;38.49;61.495;84.5;122.99;0;;25.99
ID_105304;12;3;670.99;R2;F2;M3;RF2;RFM6;15DEC2021;78;223.66333333;482;670.99;0;;99.99
ID_105430;24;1;53;R1;F1;M1;RF1;RFM1;08JAN2021;53;53;53;53;0;;8
ID_105431;23;1;123.6;R1;F1;M2;RF1;RFM2;28FEB2021;123.6;123.6;123.6;123.6;0;;9.6
ID_105562;14;1;317.49;R1;F1;M3;RF1;RFM3;03NOV2021;317.49;317.49;317.49;317.49;0;;19.49
ID_105607;14;4;189.5;R1;F3;M2;RF2;RFM5;21JAN2021;20.7;47.375;90;189.5;0;;27.5
ID_105658;14;2;185.1;R1;F2;M2;RF1;RFM2;02APR2021;67.5;92.55;117.6;185.1;0;;17.6
ID_105945;6;1;218.49;R3;F1;M2;RF2;RFM5;26JUL2022;218.49;218.49;218.49;218.49;0;;8.49
ID_106;12;1;43;R2;F1;M1;RF2;RFM4;07JAN2022;43;43;43;43;0;;8
ID_106207;2;4;306.31;R3;F3;M3;RF3;RFM9;12JAN2021;44.34;76.5775;154.99;306.31;0;;32.96
ID_106365;10;4;282.99;R2;F3;M2;RF3;RFM8;22DEC2021;30.3;70.7475;110.49;282.99;0;;45.49
ID_106509;21;1;94.49;R1;F1;M2;RF1;RFM2;11APR2021;94.49;94.49;94.49;94.49;0;;19.49
ID_106597;1;2;103.7;R3;F2;M2;RF3;RFM8;03APR2021;44.2;51.85;59.5;103.7;0;;10.19
ID_106777;14;2;62.98;R1;F2;M1;RF1;RFM1;01MAY2021;13.99;31.49;48.99;62.98;0;;7.98
ID_106925;22;1;165.99;R1;F1;M2;RF1;RFM2;21MAR2021;165.99;165.99;165.99;165.99;0;;9.99
ID_106970;9;1;120;R2;F1;M2;RF2;RFM5;16APR2022;120;120;120;120;0;;12.25
ID_106976;4;2;282.5;R3;F2;M2;RF3;RFM8;02JUL2021;69;141.25;213.5;282.5;0;;41.99
ID_106996;19;1;156.8;R1;F1;M2;RF1;RFM2;05JUN2021;156.8;156.8;156.8;156.8;0;;6.8
ID_107257;19;3;393.97;R1;F2;M3;RF1;RFM3;31MAR2021;54.49;131.32333333;269.49;393.97;0;;55.47
ID_107278;23;1;32.99;R1;F1;M1;RF1;RFM1;11FEB2021;32.99;32.99;32.99;32.99;0;;3.99
ID_107372;3;3;822.2;R3;F2;M3;RF3;RFM9;27JUN2022;142;274.06666667;441.2;822.2;0;;97
ID_107401;1;4;233.97;R3;F3;M2;RF3;RFM8;22MAR2021;34.49;58.4925;97.99;233.97;0;-20;24.47
ID_107450;1;7;1000.45;R3;F3;M3;RF3;RFM9;01MAR2021;45.99;142.92142857;413.99;1000.45;0;;66.15
ID_107573;12;2;237.69;R2;F2;M2;RF2;RFM5;09JAN2021;68.2;118.845;169.49;237.69;0;;29.09
ID_107620;10;5;977.38;R2;F3;M3;RF3;RFM9;30NOV2021;31.8;195.476;443.99;977.38;0;;95.87
ID_107700;7;5;918.96;R3;F3;M3;RF3;RFM9;26FEB2021;46.5;183.792;399.99;918.96;0;-25;104.46
ID_107749;11;5;397.69;R2;F3;M3;RF3;RFM9;27MAR2021;17.2;79.538;219;397.69;0;;92.19
ID_107762;4;2;84.19;R3;F2;M2;RF3;RFM8;12FEB2021;24.2;42.095;59.99;84.19;0;;10.19
ID_107807;23;2;355.79;R1;F2;M3;RF1;RFM3;21JAN2021;55.8;177.895;299.99;355.79;0;;36.79
ID_107846;3;3;243.68;R3;F2;M2;RF3;RFM8;21MAY2022;32.2;81.226666667;112.49;243.68;0;-30;24.18
ID_107908;2;1;61.99;R3;F1;M1;RF2;RFM4;08NOV2022;61.99;61.99;61.99;61.99;0;;12.99
ID_107991;3;3;419.18;R3;F2;M3;RF3;RFM9;23NOV2021;65.2;139.72666667;184.49;419.18;0;-15;46.18
ID_107998;6;3;101.65;R3;F2;M2;RF3;RFM8;29JUL2021;22;33.883333333;43.7;101.65;0;-3;19.4
ID_108106;15;1;28.8;R1;F1;M1;RF1;RFM1;16OCT2021;28.8;28.8;28.8;28.8;0;;6.8
ID_108433;10;2;205.6;R2;F2;M2;RF2;RFM5;02APR2021;27.1;102.8;178.5;205.6;0;;17.4
ID_109605;7;3;62.98;R3;F2;M1;RF3;RFM7;31MAR2022;15.49;20.993333333;28;62.98;0;;26.48
ID_109694;11;4;179.8;R2;F3;M2;RF3;RFM8;06APR2021;18;44.95;87;179.8;0;;30.8
ID_109974;19;3;335.68;R1;F2;M3;RF1;RFM3;02FEB2021;49.49;111.89333333;183.49;335.68;0;;33.58
ID_110305;1;2;335.49;R3;F2;M3;RF3;RFM9;11DEC2021;112.49;167.745;223;335.49;0;;16.49
ID_111100;21;1;244.99;R1;F1;M2;RF1;RFM2;05APR2021;244.99;244.99;244.99;244.99;0;;29.99
ID_111899;19;2;136.98;R1;F2;M2;RF1;RFM2;17JAN2021;58.49;68.49;78.49;136.98;0;;22.98
ID_112374;4;6;465.31;R3;F3;M3;RF3;RFM9;03MAR2021;21.94;77.551666667;249.5;465.31;0;;42.95
ID_112721;2;3;356.19;R3;F2;M3;RF3;RFM9;28MAY2022;30.2;118.73;289;356.19;0;;46.19
ID_113565;21;1;164.99;R1;F1;M2;RF1;RFM2;12APR2021;164.99;164.99;164.99;164.99;0;-25;29.99
ID_114262;18;1;188;R1;F1;M2;RF1;RFM2;18JUL2021;188;188;188;188;0;;9.99
ID_114482;12;3;146.68;R2;F2;M2;RF2;RFM5;12MAY2021;22.7;48.893333333;78.99;146.68;0;;19.18
ID_114525;19;2;314.6;R1;F2;M3;RF1;RFM3;26MAR2021;67;157.3;247.6;314.6;0;;17.6
ID_114621;19;1;35.8;R1;F1;M1;RF1;RFM1;25JUN2021;35.8;35.8;35.8;35.8;0;;6.8
ID_115439;20;1;172;R1;F1;M2;RF1;RFM2;01MAY2021;172;172;172;172;0;;8
ID_116371;22;1;320.49;R1;F1;M3;RF1;RFM3;30MAR2021;320.49;320.49;320.49;320.49;0;-35;45.49
ID_116670;6;6;856.97;R3;F3;M3;RF3;RFM9;30JAN2022;45.2;142.82833333;517.69;856.97;0;-42.3;93.07
ID_118562;15;5;141.85;R1;F3;M2;RF2;RFM5;14FEB2021;15.99;28.37;38.99;141.85;0;;19.45
ID_118926;19;3;155.92;R1;F2;M2;RF1;RFM2;14FEB2021;16.94;51.973333333;105.49;155.92;0;;12.97
ID_119056;13;2;91.48;R2;F2;M2;RF2;RFM5;20MAR2021;23.99;45.74;67.49;91.48;0;;24.48
ID_120953;2;4;927.25;R3;F3;M3;RF3;RFM9;13FEB2021;105;231.8125;399;927.25;0;-15;52.25
ID_122129;22;1;332.99;R1;F1;M3;RF1;RFM3;24MAR2021;332.99;332.99;332.99;332.99;0;;7.99
ID_1227;15;5;848.99;R1;F3;M3;RF2;RFM6;14APR2021;93.8;169.798;236;848.99;0;;66.58
ID_122953;23;1;60.89;R1;F1;M1;RF1;RFM1;06FEB2021;60.89;60.89;60.89;60.89;0;;5.99
ID_123067;24;1;34.7;R1;F1;M1;RF1;RFM1;01JAN2021;34.7;34.7;34.7;34.7;0;;4.7
ID_123198;14;3;367.48;R1;F2;M3;RF1;RFM3;11FEB2021;93.99;122.49333333;179;367.48;0;;30.47
ID_123200;11;4;94.81;R2;F3;M2;RF3;RFM8;09JAN2021;8.89;23.7025;32.49;94.81;0;;18.96
ID_123256;2;1;46;R3;F1;M1;RF2;RFM4;30NOV2022;46;46;46;46;0;;26
ID_123669;9;1;51.99;R2;F1;M1;RF2;RFM4;08APR2022;51.99;51.99;51.99;51.99;0;;8.49
ID_123969;3;1;66.5;R3;F1;M1;RF2;RFM4;12OCT2022;66.5;66.5;66.5;66.5;0;;8.5
ID_124419;21;4;281.99;R1;F3;M2;RF2;RFM5;11JAN2021;47.5;70.4975;94.49;281.99;0;-15;41.09
ID_124810;1;1;44.2;R3;F1;M1;RF2;RFM4;05DEC2022;44.2;44.2;44.2;44.2;0;;5.2
ID_1250;7;5;279.56;R3;F3;M2;RF3;RFM8;06JUN2021;20.1;55.912;81.49;279.56;0;;25.56
ID_125026;23;1;19.7;R1;F1;M1;RF1;RFM1;16FEB2021;19.7;19.7;19.7;19.7;0;;4.7
ID_126290;4;3;327.69;R3;F2;M3;RF3;RFM9;25NOV2021;41.7;109.23;177.5;327.69;0;;46.69
ID_126938;2;3;1032.18;R3;F2;M3;RF3;RFM9;01JUN2021;19.99;344.06;979.99;1032.18;0;;41.18
ID_126949;1;5;247.37;R3;F3;M2;RF3;RFM8;26MAY2022;35.49;49.474;63.49;247.37;0;;36.37
ID_127248;2;2;60.98;R3;F2;M1;RF3;RFM7;10NOV2022;29.49;30.49;31.49;60.98;0;;14.98
ID_127373;14;4;150.67;R1;F3;M2;RF2;RFM5;23MAY2021;22.49;37.6675;59.99;150.67;0;;17.67
ID_127639;12;1;98.49;R2;F1;M2;RF2;RFM5;04JAN2022;98.49;98.49;98.49;98.49;0;;19.49
ID_127713;13;1;52;R2;F1;M1;RF2;RFM4;26DEC2021;52;52;52;52;0;;4.7
ID_127790;9;2;121.5;R2;F2;M2;RF2;RFM5;22FEB2021;10;60.75;111.5;121.5;0;;26.49
ID_127859;2;1;26.99;R3;F1;M1;RF2;RFM4;19NOV2022;26.99;26.99;26.99;26.99;0;;8.99
ID_127940;1;4;232.67;R3;F3;M2;RF3;RFM8;13NOV2021;27.49;58.1675;103.2;232.67;0;;23.17
ID_128025;2;3;222.19;R3;F2;M2;RF3;RFM8;12SEP2021;62.99;74.063333333;89;222.19;0;;15.68
ID_128074;4;7;1078.17;R3;F3;M3;RF3;RFM9;26FEB2021;60.7;154.02428571;288.49;1078.17;0;;155.27
ID_128144;11;3;113.28;R2;F2;M2;RF2;RFM5;04NOV2021;21.8;37.76;65.99;113.28;0;;17.28
ID_128357;20;2;191.99;R1;F2;M2;RF1;RFM2;08FEB2021;50;95.995;141.99;191.99;0;;20.99
ID_128505;3;3;337.9;R3;F2;M3;RF3;RFM9;21FEB2021;46.9;112.63333333;202;337.9;0;;28
ID_128525;1;5;456.14;R3;F3;M3;RF3;RFM9;13JAN2021;28.5;91.228;207.9;456.14;0;-15;81.89
ID_128542;3;3;311.5;R3;F2;M3;RF3;RFM9;07FEB2022;28.5;103.83333333;186;311.5;0;;28
ID_128545;19;1;49.73;R1;F1;M1;RF1;RFM1;13JUN2021;49.73;49.73;49.73;49.73;0;;18.8
ID_128590;8;6;842.49;R2;F3;M3;RF3;RFM9;13SEP2021;43.6;140.415;245.3;842.49;0;;76.08
ID_128700;13;7;527.06;R2;F3;M3;RF3;RFM9;19JUL2021;15.87;75.294285714;154.49;527.06;0;-28.07;85.43
ID_128730;1;8;973.18;R3;F3;M3;RF3;RFM9;10FEB2021;30.3;121.6475;413;973.18;0;-38;97.68
ID_128758;20;2;163.69;R1;F2;M2;RF1;RFM2;14MAY2021;39.2;81.845;124.49;163.69;0;;24.19
ID_128823;7;5;311.82;R3;F3;M3;RF3;RFM9;17OCT2021;38.44;62.364;117;311.82;0;;43.87
ID_128858;15;4;592.73;R1;F3;M3;RF2;RFM6;13SEP2021;62.55;148.1825;329.49;592.73;0;-15;53.28
ID_129081;24;4;213.5;R1;F3;M2;RF2;RFM5;17JAN2021;23.7;53.375;103;213.5;0;;27.5
ID_129373;14;2;333.2;R1;F2;M3;RF1;RFM3;17FEB2021;127.2;166.6;206;333.2;0;-15;33.2
ID_1351;9;5;396.88;R2;F3;M3;RF3;RFM9;10MAR2021;15.7;79.376;290;396.88;0;-20;43.38
ID_145136;23;1;59.99;R1;F1;M1;RF1;RFM1;11FEB2021;59.99;59.99;59.99;59.99;0;;4.99
ID_145163;13;3;280.18;R2;F2;M2;RF2;RFM5;22JAN2021;22.2;93.393333333;164.99;280.18;0;;47.68
ID_145265;2;3;771.98;R3;F2;M3;RF3;RFM9;15JAN2021;42.99;257.32666667;674;771.98;0;-20;40.98
ID_145468;4;4;100.39;R3;F3;M2;RF3;RFM8;23MAY2021;15;25.0975;36.99;100.39;0;;27.89
ID_145619;9;3;337.58;R2;F2;M3;RF2;RFM6;03MAR2021;39.6;112.52666667;199.99;337.58;0;;47.58
ID_145654;1;9;1734.3;R3;F3;M3;RF3;RFM9;05JUN2021;36.99;192.7;532.8;1734.3;0;;104.1
ID_145672;4;1;59.49;R3;F1;M1;RF2;RFM4;11SEP2022;59.49;59.49;59.49;59.49;0;;8.49
ID_145688;13;3;68.01;R2;F2;M1;RF2;RFM4;10JUL2021;18.99;22.67;27.32;68.01;0;-2.28;15.99
ID_145731;12;4;140.97;R2;F3;M2;RF3;RFM8;11NOV2021;25.49;35.2425;52.7;140.97;0;;16.17
ID_145773;2;4;1218.73;R3;F3;M3;RF3;RFM9;06APR2021;36.95;304.6825;519.49;1218.73;0;;65.68
ID_145785;20;3;134.97;R1;F2;M2;RF1;RFM2;11FEB2021;23.49;44.99;78.49;134.97;0;;11.97
ID_145819;23;1;12.99;R1;F1;M1;RF1;RFM1;02FEB2021;12.99;12.99;12.99;12.99;0;;3.49
ID_145869;13;1;24.49;R2;F1;M1;RF2;RFM4;13DEC2021;24.49;24.49;24.49;24.49;0;;4.99
ID_146001;7;1;29.6;R3;F1;M1;RF2;RFM4;12JUN2022;29.6;29.6;29.6;29.6;0;;4.6
ID_146092;19;1;31.8;R1;F1;M1;RF1;RFM1;28JUN2021;31.8;31.8;31.8;31.8;0;;6.8
ID_146290;21;1;119.49;R1;F1;M2;RF1;RFM2;07APR2021;119.49;119.49;119.49;119.49;0;-25;19.49
ID_146312;8;2;563.99;R2;F2;M3;RF2;RFM6;10APR2022;98.99;281.995;465;563.99;0;;38.49
ID_146331;1;10;1525.9;R3;F3;M3;RF3;RFM9;29MAY2021;48.99;152.59;257.4;1525.9;0;-45;137.09
ID_146346;1;2;152.49;R3;F2;M2;RF3;RFM8;30JAN2022;34;76.245;118.49;152.49;0;-20;25.99
ID_146364;22;1;288.99;R1;F1;M2;RF1;RFM2;12MAR2021;288.99;288.99;288.99;288.99;0;;12.99
ID_146402;3;1;151;R3;F1;M2;RF2;RFM5;27OCT2022;151;151;151;151;0;;32
ID_146482;21;1;23.7;R1;F1;M1;RF1;RFM1;11APR2021;23.7;23.7;23.7;23.7;0;;4.7
ID_146529;9;6;667.8;R2;F3;M3;RF3;RFM9;26FEB2021;15.44;111.3;319.99;667.8;0;;78.85
ID_146656;1;8;417.89;R3;F3;M3;RF3;RFM9;21JAN2021;18.79;52.23625;104;417.89;0;-24.16;71.13
ID_146753;7;5;183.87;R3;F3;M2;RF3;RFM8;24JAN2021;19.2;36.774;59.99;183.87;0;-6;23.87
ID_146905;1;4;651.8;R3;F3;M3;RF3;RFM9;14SEP2021;37.6;162.95;419;651.8;0;-20;47.49
ID_146911;3;3;350.59;R3;F2;M3;RF3;RFM9;31MAR2021;93.6;116.86333333;129;350.59;0;-20;54.59
ID_146993;12;3;179.06;R2;F2;M2;RF2;RFM5;04JUL2021;52.99;59.686666667;69.49;179.06;0;-5.22;37.08
ID_147254;12;3;483.48;R2;F2;M3;RF2;RFM6;18NOV2021;32.99;161.16;378;483.48;0;-15;53.98
ID_147302;7;4;633.08;R3;F3;M3;RF3;RFM9;08MAR2021;101.8;158.27;223.99;633.08;0;-15;84.18
ID_147514;7;2;152.49;R3;F2;M2;RF3;RFM8;29JUN2021;67;76.245;85.49;152.49;0;;15.49
ID_147549;1;2;73.69;R3;F2;M1;RF3;RFM7;11JAN2022;29.49;36.845;44.2;73.69;0;;9.69
ID_147614;8;4;304.22;R2;F3;M3;RF3;RFM9;11APR2021;56.99;76.055;124.49;304.22;0;;40.97
ID_147640;18;7;1577.17;R1;F3;M3;RF2;RFM6;04MAY2021;93;225.31;667.99;1577.17;0;-15;135.67
ID_147719;4;2;127.95;R3;F2;M2;RF3;RFM8;14APR2022;26.7;63.975;101.25;127.95;0;;17.45
ID_147964;13;2;93.6;R2;F2;M2;RF2;RFM5;03MAY2021;45.8;46.8;47.8;93.6;0;;13.6
ID_148150;23;1;212;R1;F1;M2;RF1;RFM2;26FEB2021;212;212;212;212;0;;37
ID_148394;12;4;1203.87;R2;F3;M3;RF3;RFM9;26FEB2021;72.89;300.9675;807;1203.87;0;;102.97
ID_148442;1;3;108.98;R3;F2;M2;RF3;RFM8;28JAN2022;15.49;36.326666667;51.5;108.98;0;;26.48
ID_148450;22;1;66.5;R1;F1;M1;RF1;RFM1;28MAR2021;66.5;66.5;66.5;66.5;0;;8
ID_148513;12;3;287.2;R2;F2;M2;RF2;RFM5;16JAN2022;32.2;95.733333333;150.1;287.2;0;;70.4
ID_148696;23;1;179.49;R1;F1;M2;RF1;RFM2;26FEB2021;179.49;179.49;179.49;179.49;0;-10;19.49
ID_148818;12;4;513.93;R2;F3;M3;RF3;RFM9;11SEP2021;32.39;128.4825;310;513.93;0;-43.74;39.96
ID_148889;18;5;262.89;R1;F3;M2;RF2;RFM5;21JAN2021;17.2;52.578;94.71;262.89;0;-22.18;26.16
ID_148992;23;1;204.99;R1;F1;M2;RF1;RFM2;26FEB2021;204.99;204.99;204.99;204.99;0;;29.99
ID_149003;16;1;42.5;R1;F1;M1;RF1;RFM1;13SEP2021;42.5;42.5;42.5;42.5;0;;12.99
ID_149107;12;7;422.09;R2;F3;M3;RF3;RFM9;11JAN2021;21.8;60.298571429;108.49;422.09;0;;66.69
ID_149235;13;1;33.49;R2;F1;M1;RF2;RFM4;06DEC2021;33.49;33.49;33.49;33.49;0;;4.49
ID_149365;11;6;528.25;R2;F3;M3;RF3;RFM9;03JAN2021;12.49;88.041666667;234.99;528.25;0;;32.25
ID_149503;2;4;133.32;R3;F3;M2;RF3;RFM8;13SEP2021;23.49;33.33;54.5;133.32;0;;25.47
ID_149524;21;1;16.8;R1;F1;M1;RF1;RFM1;23APR2021;16.8;16.8;16.8;16.8;0;;6.8
ID_149626;11;3;552.17;R2;F2;M3;RF2;RFM6;04SEP2021;128.49;184.05666667;235.69;552.17;0;;23.47
ID_149780;21;1;67.5;R1;F1;M1;RF1;RFM1;04APR2021;67.5;67.5;67.5;67.5;0;;8
ID_149789;9;4;455.88;R2;F3;M3;RF3;RFM9;24JAN2021;31.8;113.97;324.49;455.88;0;;61.88
ID_149833;14;4;109.87;R1;F3;M2;RF2;RFM5;23JAN2021;13.99;27.4675;44;109.87;0;-9;19.97
ID_149927;18;1;49.1;R1;F1;M1;RF1;RFM1;10JUL2021;49.1;49.1;49.1;49.1;0;;9.6
ID_150025;1;2;74.19;R3;F2;M1;RF3;RFM7;20MAR2021;29.99;37.095;44.2;74.19;0;;9.19
ID_150032;19;1;325.49;R1;F1;M3;RF1;RFM3;20JUN2021;325.49;325.49;325.49;325.49;0;;45.49
ID_150197;13;2;1189.98;R2;F2;M3;RF2;RFM6;16SEP2021;369.99;594.99;819.99;1189.98;0;-200;59.98
ID_150260;11;3;233.27;R2;F2;M2;RF2;RFM5;07JAN2022;26.49;77.756666667;110.29;233.27;0;-15;17.97
ID_150443;6;2;68.1;R3;F2;M1;RF3;RFM7;22DEC2021;33.5;34.05;34.6;68.1;0;;9.3
ID_150456;12;2;230.19;R2;F2;M2;RF2;RFM5;06DEC2021;57.59;115.095;172.6;230.19;0;;15.09
ID_150547;9;4;140.96;R2;F3;M2;RF3;RFM8;18SEP2021;17.99;35.24;57.49;140.96;0;;22.46
ID_150632;15;3;355.08;R1;F2;M3;RF1;RFM3;13JAN2021;99.99;118.36;141.6;355.08;0;-15;27.08
ID_150762;11;1;140.1;R2;F1;M2;RF2;RFM5;21FEB2022;140.1;140.1;140.1;140.1;0;;9.6
ID_150818;15;2;60.48;R1;F2;M1;RF1;RFM1;06SEP2021;20.99;30.24;39.49;60.48;0;;7.48
ID_151045;12;3;771.69;R2;F2;M3;RF2;RFM6;12JAN2021;39.7;257.23;450;771.69;0;-60;70.88
ID_151176;9;4;436.38;R2;F3;M3;RF3;RFM9;23JAN2021;31.8;109.095;149.49;436.38;0;-15;33.38
ID_151188;8;1;43.49;R2;F1;M1;RF2;RFM4;15MAY2022;43.49;43.49;43.49;43.49;0;;7.49
ID_151204;24;1;45.5;R1;F1;M1;RF1;RFM1;23JAN2021;45.5;45.5;45.5;45.5;0;;8
ID_151286;9;5;1746.54;R2;F3;M3;RF3;RFM9;03JAN2021;18.3;349.308;700;1746.54;0;;193.59
ID_151442;23;5;575.85;R1;F3;M3;RF2;RFM6;27JAN2021;32.2;115.17;230.2;575.85;0;;51.2
ID_151592;9;5;1158.16;R2;F3;M3;RF3;RFM9;09JAN2021;37.99;231.632;413.99;1158.16;0;-50;136.16
ID_151597;9;3;214.98;R2;F2;M2;RF2;RFM5;11APR2021;22.5;71.66;154.49;214.98;0;-25;35.98
ID_152014;4;5;230.89;R3;F3;M2;RF3;RFM8;01FEB2021;18;46.178;85.8;230.89;0;;36.89
