num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye;date_modifiee;date_sas
ID_103884;300408;13-avr-21;13.2;;3.49;;16.69;13-apr-21;13APR2021
ID_103884;330683;01-oct-21;18;;3.99;;21.99;01-oct-21;01OCT2021
ID_103884;331985;10-oct-21;43;;3.99;;46.99;10-oct-21;10OCT2021
ID_103884;361998;15-févr-22;45;;4.99;;49.99;15-feb-22;15FEB2022
ID_103884;389685;19-juil-22;24;;6.5;;30.5;19-jul-22;19JUL2022
ID_103930;292590;05-mars-21;125;;29.99;;154.99;05-mar-21;05MAR2021
ID_103965;287082;10-févr-21;40;;6.8;;46.8;10-feb-21;10FEB2021
ID_103965;307540;01-juin-21;47.5;;8;;55.5;01-jun-21;01JUN2021
ID_103965;330569;01-oct-21;41;;8;;49;01-oct-21;01OCT2021
ID_104100;390557;25-juil-22;35;;12.25;;47.25;25-jul-22;25JUL2022
ID_104163;298381;05-avr-21;59.5;;4.99;-4.99;59.5;05-apr-21;05APR2021
ID_104163;300304;13-avr-21;305;-25;29.99;;309.99;13-apr-21;13APR2021
ID_104163;317817;22-juil-21;250;-25;29.99;-29.99;225;22-jul-21;22JUL2021
ID_104163;318219;24-juil-21;625;-62.5;84.99;;647.49;24-jul-21;24JUL2021
ID_104308;332048;11-oct-21;9.5;;4.7;;14.2;11-oct-21;11OCT2021
ID_104308;385916;04-juil-22;42.5;;8.49;;50.99;04-jul-22;04JUL2022
ID_104308;385917;04-juil-22;103.5;;9.49;;112.99;04-jul-22;04JUL2022
ID_104321;344350;30-nov-21;55;;3.99;;58.99;30-nov-21;30NOV2021
ID_104339;286947;09-févr-21;305;;9.6;;314.6;09-feb-21;09FEB2021
ID_104339;313439;02-juil-21;89;;19.49;;108.49;02-jul-21;02JUL2021
ID_104339;313444;02-juil-21;98;;14.4;;112.4;02-jul-21;02JUL2021
ID_104339;314612;08-juil-21;40;;4.49;;44.49;08-jul-21;08JUL2021
ID_104339;371841;09-avr-22;190;;25;;215;09-apr-22;09APR2022
ID_104435;329296;26-sept-21;9.5;;4.49;;13.99;26-sep-21;26SEP2021
ID_104465;369609;02-avr-22;75;;22.5;;97.5;02-apr-22;02APR2022
ID_104487;396940;27-sept-22;9;;4.2;;13.2;27-sep-22;27SEP2022
ID_104487;396943;27-sept-22;49;;5.99;;54.99;27-sep-22;27SEP2022
ID_104491;296014;27-mars-21;20;;4.49;;24.49;27-mar-21;27MAR2021
ID_104491;397507;04-oct-22;32;;7.2;;39.2;04-oct-22;04OCT2022
ID_104491;405719;29-nov-22;67;;8.49;;75.49;29-nov-22;29NOV2022
ID_104537;307030;30-mai-21;25.5;;3.99;;29.49;30-may-21;30MAY2021
ID_104811;279437;12-janv-21;20;;6.8;;26.8;12-jan-21;12JAN2021
ID_104811;280246;15-janv-21;15.4;;12.8;;28.2;15-jan-21;15JAN2021
ID_104811;280260;15-janv-21;4.9;;6.8;;11.7;15-jan-21;15JAN2021
ID_104811;283016;24-janv-21;25;;6.8;;31.8;24-jan-21;24JAN2021
ID_104811;284525;30-janv-21;9.5;;6.8;;16.3;30-jan-21;30JAN2021
ID_104811;375240;02-mai-22;38;;6.99;;44.99;02-may-22;02MAY2022
ID_104837;396123;20-sept-22;556.5;;50;;606.5;20-sep-22;20SEP2022
ID_104837;397934;08-oct-22;116;-15;10;;111;08-oct-22;08OCT2022
ID_104837;398412;10-oct-22;226.5;;12;;238.5;10-oct-22;10OCT2022
ID_104837;401774;07-nov-22;694;;32;-32;694;07-nov-22;07NOV2022
ID_104857;291811;28-févr-21;39.5;;8;;47.5;28-feb-21;28FEB2021
ID_104857;297683;02-avr-21;119;;11.2;;130.2;02-apr-21;02APR2021
ID_104878;289558;19-févr-21;16;;3.99;;19.99;19-feb-21;19FEB2021
ID_104878;289853;21-févr-21;52;;5.49;;57.49;21-feb-21;21FEB2021
ID_104892;288345;12-févr-21;62.5;;8;;70.5;12-feb-21;12FEB2021
ID_104892;340304;17-nov-21;112;;9.6;;121.6;17-nov-21;17NOV2021
ID_104897;331896;10-oct-21;41.5;;4.49;;45.99;10-oct-21;10OCT2021
ID_104897;335219;03-nov-21;42;;4.99;;46.99;03-nov-21;03NOV2021
ID_104897;358765;01-févr-22;215;;19.49;;234.49;01-feb-22;01FEB2022
ID_104897;394725;12-sept-22;58;;7.2;;65.2;12-sep-22;12SEP2022
ID_104910;324132;28-déc-21;25;;6.8;;31.8;28-dec-21;28DEC2021
ID_104938;285460;02-févr-21;274;;29.99;;303.99;02-feb-21;02FEB2021
ID_104938;375881;06-mai-22;44;;8.99;;52.99;06-may-22;06MAY2022
ID_105074;289261;17-févr-21;26;;3.49;;29.49;17-feb-21;17FEB2021
ID_105103;290904;26-févr-21;250;;29.99;;279.99;26-feb-21;26FEB2021
ID_105103;308891;08-juin-21;295;;14.4;;309.4;08-jun-21;08JUN2021
ID_105103;330114;29-sept-21;212.2;;16;;228.2;29-sep-21;29SEP2021
ID_105103;332237;12-oct-21;115;-15;19.49;;119.49;12-oct-21;12OCT2021
ID_105103;336458;05-nov-21;66.5;;4.49;;70.99;05-nov-21;05NOV2021
ID_105103;342876;25-nov-21;22;;3.99;;25.99;25-nov-21;25NOV2021
ID_105103;370143;03-avr-22;278;;44.99;;322.99;03-apr-22;03APR2022
ID_105103;391954;11-déc-22;100;;17.5;;117.5;11-dec-22;11DEC2022
ID_105286;354684;21-janv-22;32;;6.49;;38.49;21-jan-22;21JAN2022
ID_105286;368588;28-mars-22;65;;19.5;;84.5;28-mar-22;28MAR2022
ID_105304;347325;15-déc-21;98;;12.99;;110.99;15-dec-21;15DEC2021
ID_105304;351133;11-janv-22;49;;29;;78;11-jan-22;11JAN2022
ID_105304;351137;11-janv-22;424;;58;;482;11-jan-22;11JAN2022
ID_105430;277458;08-janv-21;45;;8;;53;08-jan-21;08JAN2021
ID_105431;291791;28-févr-21;114;;9.6;;123.6;28-feb-21;28FEB2021
ID_105562;335520;03-nov-21;298;;19.49;;317.49;03-nov-21;03NOV2021
ID_105607;281286;21-janv-21;16;;4.7;;20.7;21-jan-21;21JAN2021
ID_105607;289066;16-févr-21;82;;8;;90;16-feb-21;16FEB2021
ID_105607;306029;24-mai-21;28;;6.8;;34.8;24-may-21;24MAY2021
ID_105607;337123;07-nov-21;36;;8;;44;07-nov-21;07NOV2021
ID_105658;297550;02-avr-21;59.5;;8;;67.5;02-apr-21;02APR2021
ID_105658;341051;19-nov-21;108;;9.6;;117.6;19-nov-21;19NOV2021
ID_105945;390692;26-juil-22;210;;8.49;;218.49;26-jul-22;26JUL2022
ID_106;349617;07-janv-22;35;;8;;43;07-jan-22;07JAN2022
ID_106207;279295;12-janv-21;142;;12.99;;154.99;12-jan-21;12JAN2021
ID_106207;351054;11-janv-22;39.85;;4.49;;44.34;11-jan-22;11JAN2022
ID_106207;351451;12-janv-22;44;;5.99;;49.99;12-jan-22;12JAN2022
ID_106207;403214;13-nov-22;47.5;;9.49;;56.99;13-nov-22;13NOV2022
ID_106365;323250;22-déc-21;91;;19.49;;110.49;22-dec-21;22DEC2021
ID_106365;359606;04-févr-22;36;;8;;44;04-feb-22;04FEB2022
ID_106365;366007;09-mars-22;23.5;;6.8;;30.3;09-mar-22;09MAR2022
ID_106365;366439;13-mars-22;87;;11.2;;98.2;13-mar-22;13MAR2022
ID_106509;299697;11-avr-21;75;;19.49;;94.49;11-apr-21;11APR2021
ID_106597;297932;03-avr-21;59.5;;4.99;-4.99;59.5;03-apr-21;03APR2021
ID_106597;406587;04-déc-22;39;;5.2;;44.2;04-dec-22;04DEC2022
ID_106777;302595;01-mai-21;45;;3.99;;48.99;01-may-21;01MAY2021
ID_106777;341851;22-nov-21;10;;3.99;;13.99;22-nov-21;22NOV2021
ID_106925;295173;21-mars-21;156;;9.99;;165.99;21-mar-21;21MAR2021
ID_106970;373389;16-avr-22;120;;12.25;-12.25;120;16-apr-22;16APR2022
ID_106976;313440;02-juil-21;213.5;;29.99;-29.99;213.5;02-jul-21;02JUL2021
ID_106976;395082;14-sept-22;57;;12;;69;14-sep-22;14SEP2022
ID_106996;308302;05-juin-21;150;;6.8;;156.8;05-jun-21;05JUN2021
ID_107257;297305;31-mars-21;64.5;;5.49;;69.99;31-mar-21;31MAR2021
ID_107257;297311;31-mars-21;50;;4.49;;54.49;31-mar-21;31MAR2021
ID_107257;312804;29-juin-21;224;;45.49;;269.49;29-jun-21;29JUN2021
ID_107278;287873;11-févr-21;29;;3.99;;32.99;11-feb-21;11FEB2021
ID_107372;383964;27-juin-22;401.2;;40;;441.2;27-jun-22;27JUN2022
ID_107372;387486;09-juil-22;110;;32;;142;09-jul-22;09JUL2022
ID_107372;397420;03-oct-22;214;;25;;239;03-oct-22;03OCT2022
ID_107401;295384;22-mars-21;55;;3.99;;58.99;22-mar-21;22MAR2021
ID_107401;323989;27-déc-21;112;-20;5.99;;97.99;27-dec-21;27DEC2021
ID_107401;359943;05-févr-22;30;;4.49;;34.49;05-feb-22;05FEB2022
ID_107401;407435;07-déc-22;32.5;;10;;42.5;07-dec-22;07DEC2022
ID_107450;292106;01-mars-21;41.5;;4.49;;45.99;01-mar-21;01MAR2021
ID_107450;293174;08-mars-21;120.3;;4.99;;125.29;08-mar-21;08MAR2021
ID_107450;295144;20-mars-21;88.5;;5.49;;93.99;20-mar-21;20MAR2021
ID_107450;295545;24-mars-21;92;;8;;100;24-mar-21;24MAR2021
ID_107450;325326;07-sept-21;384;;29.99;;413.99;07-sep-21;07SEP2021
ID_107450;354647;21-janv-22;109;;5.99;;114.99;21-jan-22;21JAN2022
ID_107450;391780;07-déc-22;99;;7.2;;106.2;07-dec-22;07DEC2022
ID_107573;277639;09-janv-21;58.6;;9.6;;68.2;09-jan-21;09JAN2021
ID_107573;356915;28-janv-22;150;;19.49;;169.49;28-jan-22;28JAN2022
ID_107620;344356;30-nov-21;414;;29.99;;443.99;30-nov-21;30NOV2021
ID_107620;345385;04-déc-21;31;;9.6;;40.6;04-dec-21;04DEC2021
ID_107620;345390;04-déc-21;25;;6.8;;31.8;04-dec-21;04DEC2021
ID_107620;345392;04-déc-21;191;;19.49;-19.49;191;04-dec-21;04DEC2021
ID_107620;365660;06-mars-22;240;;29.99;;269.99;06-mar-22;06MAR2022
ID_107700;290982;26-févr-21;250;;29.99;;279.99;26-feb-21;26FEB2021
ID_107700;299526;11-avr-21;385;-15;29.99;;399.99;11-apr-21;11APR2021
ID_107700;299603;11-avr-21;75;;19.49;;94.49;11-apr-21;11APR2021
ID_107700;364632;27-févr-22;95;-10;12.99;;97.99;27-feb-22;27FEB2022
ID_107700;384887;29-juin-22;34.5;;12;;46.5;29-jun-22;29JUN2022
ID_107749;295924;27-mars-21;175;;44;;219;27-mar-21;27MAR2021
ID_107749;313528;02-juil-21;59;;19.49;;78.49;02-jul-21;02JUL2021
ID_107749;351736;13-janv-22;12.5;;4.7;;17.2;13-jan-22;13JAN2022
ID_107749;360188;06-févr-22;34;;12.8;;46.8;06-feb-22;06FEB2022
ID_107749;363476;22-févr-22;25;;11.2;;36.2;22-feb-22;22FEB2022
ID_107762;288082;12-févr-21;55;;4.99;;59.99;12-feb-21;12FEB2021
ID_107762;396271;21-sept-22;19;;5.2;;24.2;21-sep-22;21SEP2022
ID_107807;281888;21-janv-21;49;;6.8;;55.8;21-jan-21;21JAN2021
ID_107807;291502;27-févr-21;270;;29.99;;299.99;27-feb-21;27FEB2021
ID_107846;377830;21-mai-22;104.5;-15;9.49;;98.99;21-may-22;21MAY2022
ID_107846;380032;06-juin-22;118;-15;9.49;;112.49;06-jun-22;06JUN2022
ID_107846;398533;12-oct-22;27;;5.2;;32.2;12-oct-22;12OCT2022
ID_107908;402172;08-nov-22;49;;12.99;;61.99;08-nov-22;08NOV2022
ID_107991;342210;23-nov-21;165;;19.49;;184.49;23-nov-21;23NOV2021
ID_107991;349024;29-déc-21;165;-15;19.49;;169.49;29-dec-21;29DEC2021
ID_107991;398100;08-oct-22;58;;7.2;;65.2;08-oct-22;08OCT2022
ID_107998;319458;29-juil-21;35.95;;4.7;-4.7;35.95;29-jul-21;29JUL2021
ID_107998;333193;21-oct-21;39;;4.7;;43.7;21-oct-21;21OCT2021
ID_107998;387271;08-juil-22;15;-3;10;;22;08-jul-22;08JUL2022
ID_108106;332749;16-oct-21;22;;6.8;;28.8;16-oct-21;16OCT2021
ID_108433;297660;02-avr-21;178.5;;12.8;-12.8;178.5;02-apr-21;02APR2021
ID_108433;368645;29-mars-22;22.5;;4.6;;27.1;29-mar-22;29MAR2022
ID_109605;369191;31-mars-22;16;;12;;28;31-mar-22;31MAR2022
ID_109605;369515;02-avr-22;8;;7.49;;15.49;02-apr-22;02APR2022
ID_109605;380409;09-juin-22;12.5;;6.99;;19.49;09-jun-22;09JUN2022
ID_109694;298557;06-avr-21;31;;8;;39;06-apr-21;06APR2021
ID_109694;306224;26-mai-21;79;;8;;87;26-may-21;26MAY2021
ID_109694;310283;19-juin-21;29;;6.8;;35.8;19-jun-21;19JUN2021
ID_109694;359068;02-févr-22;10;;8;;18;02-feb-22;02FEB2022
ID_109974;285234;02-févr-21;45;;4.49;;49.49;02-feb-21;02FEB2021
ID_109974;298469;05-avr-21;164;;19.49;;183.49;05-apr-21;05APR2021
ID_109974;312717;29-juin-21;93.1;;9.6;;102.7;29-jun-21;29JUN2021
ID_110305;346809;11-déc-21;215;;8;;223;11-dec-21;11DEC2021
ID_110305;391166;01-déc-22;104;;8.49;;112.49;01-dec-22;01DEC2022
ID_111100;298313;05-avr-21;215;;29.99;;244.99;05-apr-21;05APR2021
ID_111899;280678;17-janv-21;55;;3.49;;58.49;17-jan-21;17JAN2021
ID_111899;310074;18-juin-21;59;;19.49;;78.49;18-jun-21;18JUN2021
ID_112374;292404;03-mars-21;32.5;;4.49;;36.99;03-mar-21;03MAR2021
ID_112374;298254;04-avr-21;59.5;;4.99;-4.99;59.5;04-apr-21;04APR2021
ID_112374;338723;13-nov-21;38.9;;4.99;;43.89;13-nov-21;13NOV2021
ID_112374;343159;25-nov-21;17.95;;3.99;;21.94;25-nov-21;25NOV2021
ID_112374;355165;22-janv-22;48.5;;4.99;;53.49;22-jan-22;22JAN2022
ID_112374;396143;21-sept-22;230;;19.5;;249.5;21-sep-22;21SEP2022
ID_112721;378691;28-mai-22;25;;5.2;;30.2;28-may-22;28MAY2022
ID_112721;399667;18-oct-22;31;;5.99;;36.99;18-oct-22;18OCT2022
ID_112721;401128;01-nov-22;289;;35;-35;289;01-nov-22;01NOV2022
ID_113565;299972;12-avr-21;160;-25;29.99;;164.99;12-apr-21;12APR2021
ID_114262;316970;18-juil-21;188;;9.99;-9.99;188;18-jul-21;18JUL2021
ID_114482;304327;12-mai-21;18;;4.7;;22.7;12-may-21;12MAY2021
ID_114482;346101;08-déc-21;40.5;;4.49;;44.99;08-dec-21;08DEC2021
ID_114482;349387;05-janv-22;69;;9.99;;78.99;05-jan-22;05JAN2022
ID_114525;295864;26-mars-21;59;;8;;67;26-mar-21;26MAR2021
ID_114525;308152;04-juin-21;238;;9.6;;247.6;04-jun-21;04JUN2021
ID_114621;311341;25-juin-21;29;;6.8;;35.8;25-jun-21;25JUN2021
ID_115439;302533;01-mai-21;164;;8;;172;01-may-21;01MAY2021
ID_116371;297050;30-mars-21;310;-35;45.49;;320.49;30-mar-21;30MAR2021
ID_116670;357932;30-janv-22;111.5;-22.3;12.99;;102.19;30-jan-22;30JAN2022
ID_116670;370444;04-avr-22;484.7;-20;52.99;;517.69;04-apr-22;04APR2022
ID_116670;377374;16-mai-22;47;;9.49;;56.49;16-may-22;16MAY2022
ID_116670;380668;11-juin-22;49;;5.2;;54.2;11-jun-22;11JUN2022
ID_116670;381284;15-juin-22;74;;7.2;;81.2;15-jun-22;15JUN2022
ID_116670;390638;26-juil-22;40;;5.2;;45.2;26-jul-22;26JUL2022
ID_118562;288696;14-févr-21;35;;3.99;;38.99;14-feb-21;14FEB2021
ID_118562;294427;15-mars-21;15;;3.49;;18.49;15-mar-21;15MAR2021
ID_118562;294516;16-mars-21;29;;3.99;;32.99;16-mar-21;16MAR2021
ID_118562;303525;07-mai-21;12.5;;3.49;;15.99;07-may-21;07MAY2021
ID_118562;334058;30-oct-21;30.9;;4.49;;35.39;30-oct-21;30OCT2021
ID_118926;288807;14-févr-21;29.5;;3.99;;33.49;14-feb-21;14FEB2021
ID_118926;296700;28-mars-21;100;;5.49;;105.49;28-mar-21;28MAR2021
ID_118926;307499;01-juin-21;13.45;;3.49;;16.94;01-jun-21;01JUN2021
ID_119056;295067;20-mars-21;19;;4.99;;23.99;20-mar-21;20MAR2021
ID_119056;319955;01-déc-21;48;;19.49;;67.49;01-dec-21;01DEC2021
ID_120953;288520;13-févr-21;97;;8;;105;13-feb-21;13FEB2021
ID_120953;343572;27-nov-21;199;;22;;221;27-nov-21;27NOV2021
ID_120953;399614;18-oct-22;190;;12.25;;202.25;18-oct-22;18OCT2022
ID_120953;401705;06-nov-22;414;-15;10;-10;399;06-nov-22;06NOV2022
ID_122129;295572;24-mars-21;325;;7.99;;332.99;24-mar-21;24MAR2021
ID_1227;300589;14-avr-21;228;;8;;236;14-apr-21;14APR2021
ID_1227;305532;21-mai-21;159;;6.8;;165.8;21-may-21;21MAY2021
ID_1227;332355;13-oct-21;155;;19.49;;174.49;13-oct-21;13OCT2021
ID_1227;334297;30-oct-21;164.5;;19.49;-5.09;178.9;30-oct-21;30OCT2021
ID_1227;334304;31-oct-21;81;;12.8;;93.8;31-oct-21;31OCT2021
ID_122953;286252;06-févr-21;54.9;;5.99;;60.89;06-feb-21;06FEB2021
ID_123067;276537;01-janv-21;30;;4.7;;34.7;01-jan-21;01JAN2021
ID_123198;287906;11-févr-21;179;;5.99;-5.99;179;11-feb-21;11FEB2021
ID_123198;304202;11-mai-21;89;;4.99;;93.99;11-may-21;11MAY2021
ID_123198;336962;07-nov-21;75;;19.49;;94.49;07-nov-21;07NOV2021
ID_123200;277818;09-janv-21;28;;4.49;;32.49;09-jan-21;09JAN2021
ID_123200;279238;12-janv-21;18.95;;4.99;;23.94;12-jan-21;12JAN2021
ID_123200;296259;27-mars-21;4.9;;3.99;;8.89;27-mar-21;27MAR2021
ID_123200;358582;01-févr-22;24;;5.49;;29.49;01-feb-22;01FEB2022
ID_123256;405925;30-nov-22;20;;26;;46;30-nov-22;30NOV2022
ID_123669;371538;08-avr-22;43.5;;8.49;;51.99;08-apr-22;08APR2022
ID_123969;398732;12-oct-22;58;;8.5;;66.5;12-oct-22;12OCT2022
ID_124419;278642;11-janv-21;39.5;;8;;47.5;11-jan-21;11JAN2021
ID_124419;280776;18-janv-21;79;-15;6.8;;70.8;18-jan-21;18JAN2021
ID_124419;299993;12-avr-21;62.4;;6.8;;69.2;12-apr-21;12APR2021
ID_124419;300798;16-avr-21;75;;19.49;;94.49;16-apr-21;16APR2021
ID_124810;407026;05-déc-22;39;;5.2;;44.2;05-dec-22;05DEC2022
ID_1250;308584;06-juin-21;75;;3.99;;78.99;06-jun-21;06JUN2021
ID_1250;337192;07-nov-21;21.5;;4.99;;26.49;07-nov-21;07NOV2021
ID_1250;352847;16-janv-22;78;;3.49;;81.49;16-jan-22;16JAN2022
ID_1250;377594;18-mai-22;15.5;;4.6;;20.1;18-may-22;18MAY2022
ID_1250;380094;07-juin-22;64;;8.49;;72.49;07-jun-22;07JUN2022
ID_125026;288980;16-févr-21;15;;4.7;;19.7;16-feb-21;16FEB2021
ID_126290;342989;25-nov-21;37;;4.7;;41.7;25-nov-21;25NOV2021
ID_126290;344682;01-déc-21;89;;19.49;;108.49;01-dec-21;01DEC2021
ID_126290;395212;14-sept-22;155;;22.5;;177.5;14-sep-22;14SEP2022
ID_126938;307580;01-juin-21;16;;3.99;;19.99;01-jun-21;01JUN2021
ID_126938;365219;03-mars-22;950;;29.99;;979.99;03-mar-22;03MAR2022
ID_126938;405548;28-nov-22;25;;7.2;;32.2;28-nov-22;28NOV2022
ID_126949;378399;26-mai-22;29.5;;5.99;;35.49;26-may-22;26MAY2022
ID_126949;381345;15-juin-22;54;;9.49;;63.49;15-jun-22;15JUN2022
ID_126949;391334;05-déc-22;40.5;;7.2;;47.7;05-dec-22;05DEC2022
ID_126949;399800;20-oct-22;42;;5.2;;47.2;20-oct-22;20OCT2022
ID_126949;405522;27-nov-22;45;;8.49;;53.49;27-nov-22;27NOV2022
ID_127248;402583;10-nov-22;24;;7.49;;31.49;10-nov-22;10NOV2022
ID_127248;403422;14-nov-22;22;;7.49;;29.49;14-nov-22;14NOV2022
ID_127373;305878;23-mai-21;31;;4.7;;35.7;23-may-21;23MAY2021
ID_127373;316784;18-juil-21;28.5;;3.99;;32.49;18-jul-21;18JUL2021
ID_127373;338857;13-nov-21;18.5;;3.99;;22.49;13-nov-21;13NOV2021
ID_127373;340600;18-nov-21;55;;4.99;;59.99;18-nov-21;18NOV2021
ID_127639;349360;04-janv-22;79;;19.49;;98.49;04-jan-22;04JAN2022
ID_127713;348645;26-déc-21;52;;4.7;-4.7;52;26-dec-21;26DEC2021
ID_127790;289919;22-févr-21;10;;3.99;-3.99;10;22-feb-21;22FEB2021
ID_127790;372049;09-avr-22;89;;22.5;;111.5;09-apr-22;09APR2022
ID_127859;404503;19-nov-22;18;;8.99;;26.99;19-nov-22;19NOV2022
ID_127940;338810;13-nov-21;27.5;;4.99;;32.49;13-nov-21;13NOV2021
ID_127940;361713;12-févr-22;23;;4.49;;27.49;12-feb-22;12FEB2022
ID_127940;381109;14-juin-22;61;;8.49;;69.49;14-jun-22;14JUN2022
ID_127940;393164;23-déc-22;98;;5.2;;103.2;23-dec-22;23DEC2022
ID_128025;326478;12-sept-21;58;;4.99;;62.99;12-sep-21;12SEP2021
ID_128025;326479;12-sept-21;89;;5.49;-5.49;89;12-sep-21;12SEP2021
ID_128025;401906;08-nov-22;65;;5.2;;70.2;08-nov-22;08NOV2022
ID_128074;290860;26-févr-21;75;;19.49;;94.49;26-feb-21;26FEB2021
ID_128074;314879;09-juil-21;243;;45.49;;288.49;09-jul-21;09JUL2021
ID_128074;343937;28-nov-21;89;;19.49;;108.49;28-nov-21;28NOV2021
ID_128074;354938;21-janv-22;47.9;;12.8;;60.7;21-jan-22;21JAN2022
ID_128074;355451;23-janv-22;55;;8;;63;23-jan-22;23JAN2022
ID_128074;387965;11-juil-22;220;;25;-25;220;11-jul-22;11JUL2022
ID_128074;394769;13-sept-22;218;;25;;243;13-sep-22;13SEP2022
